Scaled Voltage,Raw Voltage,Scaled Current,Raw Current,Balancing,Voltage Offset,Adjusted Voltage,10ms Avg. Voltage,10ms Avg. Current,Vset Changed
3.79986072,8499956,3.28353453,12795692,true,0.321162611,4.12278986,3.80000353,3.28399467,false
3.800071,8500426,3.28347921,12795618,false,0.321162611,4.12278986,3.79999971,3.28383899,false
3.80011129,8500517,3.28603697,12799051,false,0.321162611,4.12278986,3.80001068,3.28385544,false
3.79995394,8500165,3.28508568,12797774,false,0.321162611,4.12278986,3.80001593,3.28415442,false
3.80001378,8500298,3.28633738,12799454,false,0.321162611,4.12278986,3.80001712,3.28471494,false
3.80010509,8500502,3.282758,12794650,false,0.321162611,4.12278986,3.80002356,3.28463697,false
3.79993725,8500127,3.28417349,12796550,false,0.321162611,4.12278986,3.80000997,3.28443289,false
3.79992676,8500104,3.28634787,12799468,false,0.321162611,4.12278986,3.80001187,3.28448057,false
3.7998476,8499926,3.28510237,12797796,true,0.321299732,4.12292719,3.80002522,3.28451967,false
3.80012822,8500554,3.28394175,12796239,false,0.321299732,4.12292719,3.79999542,3.28467989,false
3.80003953,8500356,3.28253746,12794354,false,0.321299732,4.12292719,3.8000133,3.28457975,false
3.80014515,8500592,3.28397083,12796278,true,0.321169049,4.12279654,3.80002093,3.28462911,false
3.7997191,8499639,3.28371525,12795935,true,0.321421832,4.12304974,3.79998159,3.28439713,false
3.80010676,8500506,3.28734684,12800809,false,0.321421832,4.12304974,3.79999685,3.28462291,false
3.80021572,8500750,3.28460813,12797133,true,0.32122764,4.12285519,3.80001712,3.28445005,false
3.8003006,8500940,3.28662276,12799837,true,0.320957065,4.12258434,3.80003667,3.28483653,false
3.79962873,8499437,3.2826674,12794528,true,0.321291149,4.12291861,3.80000567,3.28468585,false
3.80019474,8500703,3.28396749,12796273,true,0.321115851,4.12274313,3.80003238,3.28444791,false
3.80013967,8500580,3.28316331,12795194,true,0.320990115,4.12261772,3.8000617,3.28425407,false
3.80016756,8500642,3.28535986,12798142,true,0.320839256,4.12246656,3.80006552,3.28439593,false
3.79980183,8499824,3.28595281,12798938,true,0.321017563,4.1226449,3.80004191,3.28473735,false
3.79999781,8500262,3.28373623,12795963,false,0.321017563,4.1226449,3.80002713,3.28471422,false
3.79996777,8500195,3.28225017,12793968,false,0.321017563,4.1226449,3.80005193,3.28456759,false
3.79973412,8499673,3.28461051,12797136,true,0.321256816,4.12288427,3.80001497,3.28429365,false
3.80001831,8500309,3.28455973,12797068,false,0.321256816,4.12288427,3.79999495,3.28428912,false
3.79982781,8499882,3.2851994,12797927,true,0.321411729,4.12303972,3.79994774,3.28414679,false
3.80037546,8501107,3.28289557,12794835,true,0.321073771,4.12270117,3.8000226,3.28416944,false
3.79997826,8500219,3.28403425,12796363,false,0.321073771,4.12270117,3.80000067,3.28417635,false
3.80001092,8500292,3.28499031,12797646,false,0.321073771,4.12270117,3.79998779,3.28435898,false
3.79991293,8500073,3.2850523,12797729,false,0.321073771,4.12270117,3.79996252,3.28432798,false
3.80013394,8500567,3.28298807,12794959,true,0.32095319,4.12258053,3.7999959,3.28403163,false
3.79987526,8499989,3.28521919,12797953,false,0.32095319,4.12258053,3.7999835,3.28418016,false
3.79977703,8499769,3.28335762,12795455,true,0.32115382,4.12278128,3.79996443,3.28429079,false
3.80019855,8500712,3.28186321,12793449,true,0.320975065,4.12260246,3.80001068,3.28401613,false
3.80008745,8500463,3.28624129,12799325,false,0.320975065,4.12260246,3.8000176,3.28418422,false
3.79981709,8499858,3.28371048,12795928,true,0.321139634,4.12276697,3.80001688,3.28403521,false
3.80017567,8500661,3.28275251,12794643,true,0.320981503,4.12260866,3.79999661,3.2840209,false
3.7998209,8499867,3.28348446,12795625,true,0.321142644,4.12276983,3.79998088,3.28396606,false
